ID,PROJECT,FILE,START,END,LOC,LOCNAMM,WMC,WMCNAMM,NOM,NOMNAMM,NOA,AMW,AMWNAMM,NOAM,WOC,is_god_class
C-000078,MapTalks,src/map/handler/Map.Touch.js,7,145,139,139,40,40,6,6,0,6.666666666666667,6.666666666666667,0,1.0,0
C-000079,MapTalks,src/map/Map.js,176,2303,2128,2128,402,402,121,121,8,3.322314049586777,3.322314049586777,0,0.937984496124031,1
C-000080,MapTalks,src/map/spatial-reference/SpatialReference.js,102,339,238,238,85,85,17,17,1,5.0,5.0,0,0.9444444444444444,1
C-000082,MapTalks,src/map/tool/DistanceTool.js,98,385,288,288,50,50,19,19,1,2.631578947368421,2.631578947368421,0,0.95,1
C-000083,MapTalks,src/map/tool/DrawTool.js,54,776,723,723,146,146,38,38,1,3.842105263157895,3.842105263157895,0,0.9743589743589745,1
C-000084,MapTalks,src/map/tool/MapTool.js,22,169,148,148,23,23,9,9,0,2.555555555555556,2.555555555555556,0,1.0,0
C-000086,MapTalks,src/renderer/edit/EditOutline.js,1,63,63,63,13,13,6,6,2,2.1666666666666665,2.1666666666666665,0,0.75,0
C-000087,MapTalks,src/renderer/geometry/CollectionPainter.js,13,178,166,166,28,28,16,16,4,1.75,1.75,0,0.8,0
C-000088,MapTalks,src/renderer/geometry/Painter.js,48,963,916,916,210,210,42,42,5,5.0,5.0,0,0.8936170212765957,1
C-000090,MapTalks,src/renderer/geometry/symbolizers/DebugSymbolizer.js,9,58,50,50,11,11,3,3,0,3.6666666666666665,3.6666666666666665,0,1.0,0
C-000092,MapTalks,src/renderer/geometry/symbolizers/ImageMarkerSymbolizer.js,13,129,117,117,28,28,6,6,1,4.666666666666667,4.666666666666667,0,0.8571428571428571,0
C-000093,MapTalks,src/renderer/geometry/symbolizers/PointSymbolizer.js,22,152,131,131,33,33,11,11,3,3.0,3.0,0,0.7857142857142857,0
C-000097,MapTalks,src/renderer/geometry/symbolizers/VectorMarkerSymbolizer.js,16,223,208,208,48,48,12,12,4,4.0,4.0,0,0.75,1
C-000100,MapTalks,src/renderer/layer/CanvasRenderer.js,12,23,12,12,2,2,2,2,0,1.0,1.0,0,1.0,0
C-000101,MapTalks,src/renderer/layer/CanvasRenderer.js,33,861,829,829,153,153,52,52,4,2.9423076923076925,2.9423076923076925,0,0.9285714285714286,1
C-000106,MapTalks,src/renderer/layer/tilelayer/TileLayerCanvasRenderer.js,29,51,23,23,5,5,3,3,0,1.6666666666666667,1.6666666666666667,0,1.0,0
C-000107,MapTalks,src/renderer/layer/tilelayer/TileLayerCanvasRenderer.js,63,1013,951,951,225,225,53,53,8,4.245283018867925,4.245283018867925,0,0.8688524590163934,1
C-000108,MapTalks,src/renderer/layer/tilelayer/TileLayerDomRenderer.js,50,820,771,771,186,186,48,48,3,3.875,3.875,0,0.9411764705882352,1
C-000110,MapTalks,src/renderer/layer/vectorlayer/OverlayLayerCanvasRenderer.js,12,107,96,96,25,25,12,12,0,2.083333333333333,2.083333333333333,0,1.0,0
C-000111,MapTalks,src/renderer/layer/vectorlayer/VectorLayerCanvasRenderer.js,25,504,480,480,117,117,24,24,0,4.875,4.875,0,1.0,1
C-000112,MapTalks,src/renderer/map/MapCanvasRenderer.js,17,1012,996,996,238,238,45,45,4,5.288888888888889,5.288888888888889,0,0.9183673469387756,1
C-000114,MapTalks,src/ui/InfoWindow.js,46,439,394,394,79,79,23,23,0,3.4347826086956523,3.4347826086956523,0,1.0,1
C-000117,MapTalks,src/ui/UIComponent.js,74,874,801,801,190,190,42,42,0,4.523809523809524,4.523809523809524,0,1.0,1
C-000118,MapTalks,src/ui/UIMarker.js,213,553,341,341,71,71,28,28,1,2.5357142857142856,2.5357142857142856,0,0.9655172413793104,1
C-000119,MapTalks,src/ui/UIMarker.js,559,711,153,153,31,31,10,10,0,3.1,3.1,0,1.0,0
C-000120,Atom,packages/deprecation-cop/lib/deprecation-cop-view.js,13,584,572,572,78,78,32,32,2,2.4375,2.4375,0,0.9411764705882352,1
C-000122,Atom,packages/exception-reporting/lib/reporter.js,12,299,288,288,48,48,19,19,6,2.526315789473684,2.526315789473684,0,0.76,1
C-000123,Atom,packages/git-diff/lib/diff-list-view.js,6,91,86,86,13,13,5,5,2,2.6,2.6,0,0.7142857142857143,0
C-000125,Atom,packages/go-to-line/lib/go-to-line-view.js,5,105,101,101,22,22,7,7,4,3.142857142857143,3.142857142857143,0,0.6363636363636364,0
C-000126,Atom,packages/incompatible-packages/lib/incompatible-packages-component.js,11,239,229,229,31,31,17,17,6,1.8235294117647056,1.8235294117647056,0,0.7391304347826086,0
C-000131,Atom,packages/welcome/lib/reporter-proxy.js,3,27,25,25,5,5,3,3,3,1.6666666666666667,1.6666666666666667,0,0.5,0
C-000132,Atom,packages/welcome/lib/sunsetting-view.js,6,147,142,142,8,8,8,8,1,1.0,1.0,0,0.8888888888888888,0
C-000133,Atom,packages/welcome/lib/welcome-package.js,13,112,100,100,17,17,10,10,1,1.7,1.7,0,0.9090909090909092,0
C-000134,Atom,packages/welcome/lib/welcome-view.js,6,170,165,165,8,8,8,8,1,1.0,1.0,0,0.8888888888888888,0
C-000135,Atom,src/atom-environment.js,57,1758,1702,1702,212,212,98,98,35,2.163265306122449,2.163265306122449,0,0.7368421052631579,1
