ID,LOC,CYCLO,MAXNESTING,NOAV,NOLV,NOP,MaMCL,MeMCL,IS_LONG_METHOD
M-009999,33,9,2,1,1,3,1,0.0,0
M-010063,15,3,1,3,3,0,1,0.0,0
M-010283,182,75,3,3,3,3,1,0.0,1
M-010305,394,58,7,7,7,1,1,0.0,1
M-010316,546,69,10,12,12,0,1,0.0,1
M-010581,5,2,1,0,0,4,1,0.0,0
M-010752,52,10,2,1,1,0,1,0.0,1
M-010854,30,10,4,0,0,6,1,0.0,0
M-010855,12,4,1,4,4,1,1,0.0,0
M-010863,34,1,0,0,0,1,1,0.0,0
M-011096,6,2,1,0,0,1,1,0.0,0
M-011129,113,17,2,1,1,1,1,0.0,1
M-011216,22,4,2,0,0,0,1,0.0,0
M-011239,83,17,8,4,4,3,1,0.0,1
M-011257,5,1,0,1,1,1,1,0.0,0
M-011300,126,32,6,6,6,3,1,0.0,1
M-011357,114,19,5,5,5,2,1,0.0,1
M-011528,9,1,0,0,0,2,1,0.0,0
M-011531,233,33,10,9,9,3,1,0.0,1
M-011535,6,1,0,0,0,3,1,0.0,0
M-011582,139,29,6,21,21,4,1,0.0,1
M-011831,26,6,1,0,0,3,1,0.0,0
M-011874,8,4,0,0,0,11,1,0.0,0
M-012148,83,22,5,0,0,2,1,0.0,1
M-012153,104,19,7,13,13,0,1,0.0,1
M-012178,4,1,0,0,0,0,1,0.0,0
M-012189,73,15,3,0,0,3,1,0.0,1
M-012219,414,38,4,5,5,2,1,0.0,1
M-012260,141,30,6,6,6,3,1,0.0,1
M-012299,131,29,4,5,5,2,1,0.0,1
M-012326,216,45,9,2,2,2,1,0.0,1
M-012328,4,1,0,0,0,0,1,0.0,0
M-012345,4,1,0,0,0,1,1,0.0,0
M-012408,4,1,0,0,0,0,1,0.0,0
M-012461,29,1,0,3,3,4,1,0.0,0
M-012529,14,2,1,0,0,0,1,0.0,0
M-012540,128,21,2,0,0,2,1,0.0,0
M-012698,114,29,6,7,7,4,1,0.0,1
M-012700,202,32,10,2,2,3,1,0.0,1
M-012787,61,14,3,2,2,7,1,0.0,1
M-012788,30,8,4,0,0,2,1,0.0,0
M-012935,9,1,0,0,0,0,1,0.0,0
