ID,LOC,LOCNAMM,WMC,WMCNAMM,NOM,NOMNAMM,NOA,AMW,AMWNAMM,NOAM,WOC,IS_GOD_CLASS
C-000108,771,771,186,186,48,48,3,3.875,3.875,0,0.9411764705882352,1
C-000110,96,96,25,25,12,12,0,2.083333333333333,2.083333333333333,0,1.0,0
C-000111,480,480,117,117,24,24,0,4.875,4.875,0,1.0,1
C-000112,996,996,238,238,45,45,4,5.288888888888889,5.288888888888889,0,0.9183673469387756,1
C-000114,394,394,79,79,23,23,0,3.4347826086956523,3.4347826086956523,0,1.0,1
C-000117,801,801,190,190,42,42,0,4.523809523809524,4.523809523809524,0,1.0,1
C-000118,341,341,71,71,28,28,1,2.5357142857142856,2.5357142857142856,0,0.9655172413793104,1
C-000119,153,153,31,31,10,10,0,3.1,3.1,0,1.0,0
C-000120,572,572,78,78,32,32,2,2.4375,2.4375,0,0.9411764705882352,1
C-000122,288,288,48,48,19,19,6,2.526315789473684,2.526315789473684,0,0.76,1
C-000123,86,86,13,13,5,5,2,2.6,2.6,0,0.7142857142857143,0
C-000125,101,101,22,22,7,7,4,3.142857142857143,3.142857142857143,0,0.6363636363636364,0
C-000126,229,229,31,31,17,17,6,1.8235294117647056,1.8235294117647056,0,0.7391304347826086,0
C-000131,25,25,5,5,3,3,3,1.6666666666666667,1.6666666666666667,0,0.5,0
C-000132,142,142,8,8,8,8,1,1.0,1.0,0,0.8888888888888888,0
C-000133,100,100,17,17,10,10,1,1.7,1.7,0,0.9090909090909092,0
C-000134,165,165,8,8,8,8,1,1.0,1.0,0,0.8888888888888888,0
C-000135,1702,1702,212,212,98,98,35,2.163265306122449,2.163265306122449,0,0.7368421052631579,1
C-000136,23,23,5,5,3,3,5,1.6666666666666667,1.6666666666666667,0,0.375,0
C-000138,1042,1042,178,178,50,50,0,3.56,3.56,0,1.0,1
C-000139,42,42,3,3,3,3,2,1.0,1.0,0,0.6,0
C-000140,42,42,10,10,6,6,1,1.6666666666666667,1.6666666666666667,0,0.8571428571428571,0
C-000141,49,49,7,7,6,6,1,1.1666666666666667,1.1666666666666667,0,0.8571428571428571,0
C-000142,9,9,2,2,2,2,1,1.0,1.0,0,0.6666666666666666,0
C-000144,113,113,20,20,11,11,4,1.818181818181818,1.818181818181818,0,0.7333333333333333,0
C-000146,37,37,8,8,6,6,6,1.3333333333333333,1.3333333333333333,0,0.5,0
C-000150,20,20,5,5,2,2,2,2.5,2.5,0,0.5,0
C-000151,115,115,11,11,10,10,2,1.1,1.1,0,0.8333333333333334,0
C-000152,78,78,4,4,4,4,3,1.0,1.0,0,0.5714285714285714,0
C-000154,115,115,15,15,9,9,3,1.6666666666666667,1.6666666666666667,0,0.75,0
C-000156,23,23,2,2,2,2,2,1.0,1.0,0,0.5,0
C-000157,19,19,2,2,2,2,1,1.0,1.0,0,0.6666666666666666,0
C-000158,38,38,3,3,3,3,1,1.0,1.0,0,0.75,0
C-000161,113,113,26,26,10,10,0,2.6,2.6,0,1.0,0
C-000165,107,107,22,22,11,11,2,2.0,2.0,0,0.8461538461538461,0
C-000167,108,108,17,17,7,7,1,2.4285714285714284,2.4285714285714284,0,0.875,0
C-000171,223,223,23,23,9,9,13,2.555555555555556,2.555555555555556,0,0.4090909090909091,0
C-000172,153,153,23,23,9,9,4,2.555555555555556,2.555555555555556,0,0.6923076923076923,0
C-000173,139,136,28,27,14,13,4,2.0,2.076923076923077,1,0.7222222222222222,0
C-000175,144,144,13,13,5,5,1,2.6,2.6,0,0.8333333333333334,0
C-000178,54,54,8,8,5,5,3,1.6,1.6,0,0.625,0
C-000179,38,38,12,12,2,2,2,6.0,6.0,0,0.5,0
C-000180,137,137,12,12,6,6,1,2.0,2.0,0,0.8571428571428571,0
C-000181,350,350,50,50,9,9,1,5.555555555555555,5.555555555555555,0,0.9,1
C-000182,165,165,26,26,6,6,3,4.333333333333333,4.333333333333333,0,0.6666666666666666,0
C-000183,106,106,27,27,4,4,3,6.75,6.75,0,0.5714285714285714,0
C-000184,124,124,13,13,5,5,1,2.6,2.6,0,0.8333333333333334,0
C-000186,73,73,21,21,4,4,2,5.25,5.25,0,0.6666666666666666,0
C-000187,359,338,70,67,57,54,3,1.2280701754385963,1.2407407407407407,3,0.9,1
C-000188,18,9,4,1,4,1,2,1.0,1.0,3,0.1666666666666666,0
C-000189,844,844,179,179,57,57,12,3.1403508771929824,3.1403508771929824,0,0.8260869565217391,1
C-000190,145,145,29,29,8,8,3,3.625,3.625,0,0.7272727272727273,0
C-000191,633,630,121,120,38,37,14,3.1842105263157894,3.2432432432432434,1,0.7115384615384616,1
C-000192,301,301,51,51,9,9,7,5.666666666666667,5.666666666666667,0,0.5625,1
C-000193,142,142,28,28,8,8,2,3.5,3.5,0,0.8,0
C-000196,18,18,6,6,6,6,0,1.0,1.0,0,1.0,0
C-000197,18,18,6,6,6,6,0,1.0,1.0,0,1.0,0
C-000198,95,95,18,18,4,4,4,4.5,4.5,0,0.5,0
C-000199,458,458,64,64,35,35,0,1.8285714285714283,1.8285714285714283,0,1.0,0
C-000200,22,22,1,1,1,1,0,1.0,1.0,0,1.0,0
C-000203,166,166,31,31,9,9,3,3.4444444444444446,3.4444444444444446,0,0.75,0
C-000207,224,224,21,21,9,9,5,2.333333333333333,2.333333333333333,0,0.6428571428571429,0
C-000208,101,101,12,12,4,4,3,3.0,3.0,0,0.5714285714285714,0
C-000209,174,174,37,37,5,5,3,7.4,7.4,0,0.625,0
C-000210,93,93,23,23,7,7,12,3.2857142857142856,3.2857142857142856,0,0.3684210526315789,0
C-000211,127,127,19,19,5,5,2,3.8,3.8,0,0.7142857142857143,0
C-000212,200,200,25,25,12,12,4,2.083333333333333,2.083333333333333,0,0.75,0
C-000213,224,200,31,23,20,12,3,1.55,1.9166666666666667,8,0.5217391304347826,1
C-000214,1165,1135,181,171,64,58,35,2.828125,2.9482758620689653,6,0.5858585858585859,1
C-000215,842,842,151,151,55,55,20,2.7454545454545456,2.7454545454545456,0,0.7333333333333333,1
C-000217,96,96,21,21,7,7,1,3.0,3.0,0,0.875,0
C-000218,173,173,22,22,19,19,5,1.1578947368421053,1.1578947368421053,0,0.7916666666666666,0
C-000219,1537,1537,268,268,68,68,42,3.941176470588236,3.941176470588236,0,0.6181818181818182,1
C-000220,75,75,13,13,5,5,4,2.6,2.6,0,0.5555555555555556,0
C-000221,86,86,14,14,7,7,9,2.0,2.0,0,0.4375,0
C-000222,203,191,32,28,11,8,15,2.909090909090909,3.5,3,0.3076923076923077,0
C-000223,75,75,11,11,8,8,0,1.375,1.375,0,1.0,0
C-000224,11,11,5,5,2,2,0,2.5,2.5,0,1.0,0
C-000225,130,130,19,19,7,7,0,2.7142857142857144,2.7142857142857144,0,1.0,0
C-000226,24,24,4,4,3,3,3,1.3333333333333333,1.3333333333333333,0,0.5,0
C-000227,513,513,50,50,15,15,22,3.333333333333333,3.333333333333333,0,0.4054054054054054,1
C-000228,100,100,12,12,5,5,13,2.4,2.4,0,0.2777777777777778,0
C-000229,761,761,101,101,26,26,28,3.8846153846153846,3.8846153846153846,0,0.4814814814814814,1
